a55_ilock_over_ldcache,a55_ilock_pct,a55_ipc,a55_ldcache_pct,a75_ipc,a75_traffic_share_pct,config,cpu0_ilock_pct,cpu0_ipc,cpu0_ldcache_pct,cpu0_miss,cpu0_stall_pct,cpu1_ilock_pct,cpu1_ipc,cpu1_ldcache_pct,cpu1_miss,cpu1_stall_pct,cpu2_ilock_pct,cpu2_ipc,cpu2_ldcache_pct,cpu2_miss,cpu2_stall_pct,cpu3_ilock_pct,cpu3_ipc,cpu3_ldcache_pct,cpu3_miss,cpu3_stall_pct,cpu4_ilock_pct,cpu4_ipc,cpu4_ldcache_pct,cpu4_miss,cpu4_stall_pct,cpu5_ilock_pct,cpu5_ipc,cpu5_ldcache_pct,cpu5_miss,cpu5_stall_pct,cpu6_ilock_pct,cpu6_ipc,cpu6_ldcache_pct,cpu6_miss,cpu6_stall_pct,cpu7_ilock_pct,cpu7_ipc,cpu7_ldcache_pct,cpu7_miss,cpu7_stall_pct,dram_read_gbps,mask,mode,multiplexed,n_invocations,threads,wall_s
2.11,13.3,0.689,6.3,1.18,,tg_t2_A55,12.7,0.68,6.4,0,,13.9,0.697,6.3,0,,,,,,,,,,,,5.2,0.753,3.2,0,,,,,,,0.7,1.18,0.0,0,,,,,,,,0x03,counters:a55,False,1,2,204.98
,,,,1.125,,tg_t2_A75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.098,0.0,0,,0.3,1.153,0.0,0,,,0xC0,counters:a55,False,1,2,119.07
1.49,12.2,0.677,8.2,1.126,,tg_t2_free,9.1,0.633,9.9,0,,12.6,0.687,7.4,0,,12.3,0.695,7.4,0,,10.3,0.67,8.5,0,,12.3,0.663,8.6,0,,12.9,0.683,8.1,0,,0.3,1.148,0.0,0,,0.2,1.105,0.0,0,,,free,counters:a55,False,1,2,119.21
1.04,12.9,0.7,12.5,1.346,,tg_t4_free,12.9,0.69,12.4,0,,12.6,0.693,12.7,0,,13.0,0.7,12.3,0,,12.9,0.698,12.6,0,,13.0,0.71,12.5,0,,13.2,0.703,12.6,0,,0.2,1.35,0.0,0,,0.2,1.343,0.0,0,,,free,counters:a55,False,1,4,110.81
1.02,12.4,0.696,12.2,1.347,,tg_t4_mix,12.4,0.692,12.2,0,,12.3,0.7,12.1,0,,,,,,,,,,,,,,,,,,,,,,0.2,1.36,0.0,0,,0.2,1.333,0.0,0,,,0xC3,counters:a55,False,1,4,105.69
0.77,14.4,0.729,18.7,1.17,,tg_t6_A55,14.1,0.74,17.7,0,,13.8,0.734,19.2,0,,16.6,0.71,18.6,0,,14.0,0.719,19.7,0,,14.1,0.723,19.2,0,,14.1,0.749,17.8,0,,0.8,1.17,0.0,0,,,,,,,,0x3F,counters:a55,False,1,6,142.72
0.8,14.4,0.751,17.9,1.487,,tg_t6_free,14.2,0.744,17.5,0,,14.3,0.746,17.9,0,,14.3,0.751,18.0,0,,14.4,0.751,18.3,0,,14.5,0.758,17.9,0,,14.7,0.754,17.9,0,,0.2,1.499,0.0,0,,0.2,1.474,0.0,0,,,free,counters:a55,False,1,6,118.93
1.48,19.0,0.96,12.8,1.868,,tg_t8_free,18.9,0.953,12.7,0,,19.0,0.959,12.9,0,,19.0,0.963,12.8,0,,19.1,0.964,12.9,0,,19.0,0.962,12.9,0,,18.9,0.958,12.9,0,,0.1,1.863,0.0,0,,0.1,1.872,0.0,0,,,free,counters:a55,False,1,8,216.78
,,0.693,,1.152,0.0,tg_t2_A55,,0.657,,2438804199,31.5,,0.73,,2095335091,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.152,,33774,36.5,1.374,0x03,counters:core,False,1,2,211.22
,,,,1.125,100.0,tg_t2_A75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105,,5035036374,61.8,,1.145,,5095870900,60.5,5.115,0xC0,counters:core,False,1,2,126.76
,,0.668,,1.12,99.8,tg_t2_free,,0.65,,2446660,31.5,,0.673,,1916563,30.5,,0.657,,3684581,31.2,,0.686,,3027603,29.7,,0.636,,2163733,32.2,,0.688,,3021801,31.3,,1.1,,5113444262,61.7,,1.138,,5168946069,60.3,5.504,free,counters:core,False,1,2,119.75
,,0.686,,1.321,77.9,tg_t4_free,,0.68,,229396666,34.0,,0.677,,242672901,34.1,,0.684,,268598152,34.0,,0.692,,236989389,33.5,,0.69,,305125387,33.8,,0.688,,298904807,34.2,,1.299,,2761174944,55.0,,1.341,,2807822974,53.6,4.383,free,counters:core,False,1,4,104.41
,,0.705,,1.337,84.7,tg_t4_mix,,0.696,,553218529,34.3,,0.714,,549661054,33.7,,,,,,,,,,,,,,,,,,,,,,1.329,,3048769819,53.5,,1.345,,3075936278,53.1,4.405,0xC3,counters:core,False,1,4,105.02
,,0.724,,1.168,0.0,tg_t6_A55,,0.733,,567685711,38.1,,0.726,,572975774,39.0,,0.705,,587329562,40.0,,0.718,,585677996,39.6,,0.724,,586108405,40.4,,0.741,,582943064,38.1,,1.168,,29557,36.0,,,,,,1.591,0x3F,counters:core,False,1,6,140.06
,,0.755,,1.479,66.9,tg_t6_free,,0.747,,319833354,38.0,,0.753,,344930633,38.1,,0.754,,352130137,38.2,,0.756,,340067618,38.3,,0.759,,360055766,38.1,,0.758,,339603673,38.1,,1.471,,2081481386,48.5,,1.486,,2082734677,48.0,3.184,free,counters:core,False,1,6,125.05
,,0.994,,1.928,58.5,tg_t8_free,,0.989,,404217453,33.5,,0.99,,399657619,33.7,,0.995,,379578530,33.6,,0.993,,379067865,33.7,,0.999,,383286747,33.5,,0.996,,413765379,33.5,,1.926,,1646976687,31.1,,1.931,,1673262029,30.9,1.47,free,counters:core,False,1,8,247.25
