arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,charge_delta_uah,config,cool_timeout,cool_wait_s,device_online,energy_j,energy_j_timestamped,energy_metric_used,energy_scope,entry_temp_mC,mask,mode,perfetto_trace,policy0_khz_max,policy0_khz_mean,policy6_khz_max,policy6_khz_mean,power_w_mean,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,suspend_detected,suspend_detected_by_device,t_end,t_start,telemetry_csv,telemetry_samples,test,threads,tokens_counted,tokens_per_joule,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,wall_s
sweep.pp_t2_A75.b0,c62e2897b83e450aa8d5312a50720f78,98,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t2_A75.b0.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,174000.0,pp_t2_A75,False,47.8,True,377.32,376.69,energy_j_timestamped,invocation_incl_setup,40800.0,0xC0,sweep,out/llama-bench-kai/traces/sweep.pp_t2_A75.b0.perfetto-trace,850000.0,848626.5,850000.0,850000.0,0.803,0,0,167,True,5,False,False,1399492.96,1399023.22,out/llama-bench-kai/telemetry/sweep.pp_t2_A75.b0.csv,166,pp,2,10240,27.184,0.251,23.562,23.49,21.343,20,23.261,23.512,True,False,True,469.74
sweep.pp_t2_A75.b1,86ad1bd0315b40f0a1f88e84b5195774,88,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t2_A75.b1.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,26000.0,pp_t2_A75,False,47.9,True,691.16,693.8,energy_j_timestamped,invocation_incl_setup,39900.0,0xC0,sweep,,850000.0,849089.8,850000.0,850000.0,1.188,0,1,168,True,5,False,False,1406679.69,1406097.7,out/llama-bench-kai/telemetry/sweep.pp_t2_A75.b1.csv,167,pp,2,10240,14.759,5.686,23.454,20.603,10.308,20,17.16,22.845,False,False,True,581.99
sweep.pp_t2_A75.b2,60d5e8e2337c485f9a355fa1ca8a00bc,75,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t2_A75.b2.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,0.0,pp_t2_A75,False,47.8,True,344.14,339.87,energy_j_timestamped,invocation_incl_setup,38800.0,0xC0,sweep,,850000.0,846939.0,850000.0,850000.0,0.741,0,2,165,True,5,False,False,1416328.08,1415863.41,out/llama-bench-kai/telemetry/sweep.pp_t2_A75.b2.csv,164,pp,2,10240,30.129,0.057,23.604,23.508,23.424,20,23.466,23.524,False,False,True,464.67
sweep.pp_t6_A55.b0,2e73dd34f09a44c2bd371cf50da0e6e3,92,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t6_A55.b0.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,26000.0,pp_t6_A55,False,47.9,True,237.75,238.82,energy_j_timestamped,invocation_incl_setup,40000.0,0x3F,sweep,out/llama-bench-kai/traces/sweep.pp_t6_A55.b0.perfetto-trace,850000.0,847445.3,850000.0,850000.0,0.871,0,0,138,True,5,False,False,1404176.83,1403904.02,out/llama-bench-kai/telemetry/sweep.pp_t6_A55.b0.csv,137,pp,6,10240,42.877,0.767,42.994,42.526,38.335,20,41.933,42.7,True,False,True,272.81
sweep.pp_t6_A55.b1,ebd1fd5570344235927b80e4ad5fc3ed,85,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t6_A55.b1.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,0.0,pp_t6_A55,False,47.8,True,242.82,239.75,energy_j_timestamped,invocation_incl_setup,40700.0,0x3F,sweep,,850000.0,850000.0,850000.0,850000.0,0.925,0,1,142,True,5,False,False,1408488.9,1408226.26,out/llama-bench-kai/telemetry/sweep.pp_t6_A55.b1.csv,141,pp,6,10240,42.711,0.67,45.843,45.415,39.284,20,45.047,45.717,False,False,True,262.64
sweep.pp_t6_A55.b2,5f74a2de430b4673b99c3b155e7a4f4f,75,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t6_A55.b2.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,0.0,pp_t6_A55,False,47.8,True,226.26,224.79,energy_j_timestamped,invocation_incl_setup,39500.0,0x3F,sweep,,850000.0,850000.0,850000.0,850000.0,0.848,0,2,140,True,5,False,False,1415812.96,1415546.28,out/llama-bench-kai/telemetry/sweep.pp_t6_A55.b2.csv,139,pp,6,10240,45.554,0.576,44.566,43.645,33.848,20,43.4,43.975,False,False,True,266.68
sweep.pp_t8_free.b0,ec983cb5e79b47b0b6c68b58c8ad7bd1,94,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t8_free.b0.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,0.0,pp_t8_free,False,47.8,True,234.61,233.05,energy_j_timestamped,invocation_incl_setup,40400.0,free,sweep,out/llama-bench-kai/traces/sweep.pp_t8_free.b0.perfetto-trace,850000.0,847859.2,850000.0,850000.0,0.99,0,0,72,True,5,False,False,1402760.61,1402523.75,out/llama-bench-kai/telemetry/sweep.pp_t8_free.b0.csv,71,pp,8,10240,43.939,2.05,49.725,48.013,37.828,20,46.79,48.84,True,False,True,236.86
sweep.pp_t8_free.b1,e4dda68be5e44307a26f22c9aa5fd9ca,47,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t8_free.b1.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,26000.0,pp_t8_free,False,47.8,True,227.01,224.46,energy_j_timestamped,invocation_incl_setup,39100.0,free,sweep,,850000.0,839222.2,850000.0,850000.0,0.995,0,1,73,True,5,False,False,1434403.09,1434175.02,out/llama-bench-kai/telemetry/sweep.pp_t8_free.b1.csv,72,pp,8,10240,45.621,1.482,50.406,48.819,42.164,20,48.211,49.693,False,False,True,228.07
sweep.pp_t8_free.b2,c44041d501ae47bf939b12f58312ff28,81,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.pp_t8_free.b2.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,26000.0,pp_t8_free,False,47.9,True,253.32,249.03,energy_j_timestamped,invocation_incl_setup,39700.0,free,sweep,,850000.0,844083.3,850000.0,850000.0,0.972,0,2,73,True,5,False,False,1411692.03,1411431.32,out/llama-bench-kai/telemetry/sweep.pp_t8_free.b2.csv,72,pp,8,10240,41.12,3.116,48.369,46.106,21.316,20,44.352,47.469,False,False,True,260.71
sweep.tg_t2_A55.b0,0191fe9e041b40d8b69273f2227320c2,93,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_sweep.tg_t2_A55.b0.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,26000.0,tg_t2_A55,False,298.2,True,365.55,366.27,energy_j_timestamped,invocation_incl_setup,41700.0,0x03,sweep,out/llama-bench-kai/traces/sweep.tg_t2_A55.b0.perfetto-trace,850000.0,849251.2,850000.0,850000.0,0.918,0,0,204,True,5,False,False,1403850.75,1403452.62,out/llama-bench-kai/telemetry/sweep.tg_t2_A55.b0.csv,203,tg,2,2560,6.989,0.061,6.893,6.798,6.223,20,6.752,6.813,True,False,True,398.13
