arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,charge_delta_uah,config,control_block,cool_timeout,cool_wait_s,device_online,energy_j,energy_j_timestamped,energy_metric_used,energy_scope,entry_temp_mC,mask,mode,multiplexed,n_invocations,perfetto_trace,policy0_khz_max,policy0_khz_mean,policy6_khz_max,policy6_khz_mean,power_w_mean,raw,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,suspend_detected,suspend_detected_by_device,t_end,t_start,telemetry_csv,telemetry_samples,test,threads,tokens_counted,tokens_per_joule,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,variant,wall_s
control.tg_t2_A75.bare.b0,dfcf94b8c4d44c2ab76554541b0d0bbe,67,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t2_A75.bare.b0.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,0,False,47.8,True,,,,invocation_incl_setup,39600.0,0xC0,control:bare,,,,,,,,,,0,0,0,True,5,,,1421886.77,1421658.75,,,tg,2,2560,,0.047,11.638,11.579,11.51,20,11.56,11.606,False,False,True,bare,228.02
control.tg_t2_A75.bare.b1,b2797c1d02414808b2857066c19c2cb8,65,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t2_A75.bare.b1.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,1,False,47.8,True,,,,invocation_incl_setup,39600.0,0xC0,control:bare,,,,,,,,,,0,1,0,True,5,,,1423372.73,1423144.87,,,tg,2,2560,,0.04,11.627,11.584,11.539,20,11.568,11.607,False,False,True,bare,227.86
control.tg_t2_A75.bare.b2,096d7a0bdba3431fb84f644a8bdc7cbd,62,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t2_A75.bare.b2.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,2,False,47.8,True,,,,invocation_incl_setup,39400.0,0xC0,control:bare,,,,,,,,,,0,2,0,True,5,,,1425354.74,1425125.61,,,tg,2,2560,,0.047,11.586,11.541,11.421,20,11.516,11.563,False,False,True,bare,229.13
control.tg_t2_A75.bare.b3,59bcdca455944357923c3e81b68463c1,60,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t2_A75.bare.b3.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,3,False,47.8,True,,,,invocation_incl_setup,39500.0,0xC0,control:bare,,,,,,,,,,0,3,0,True,5,,,1426533.87,1426304.99,,,tg,2,2560,,0.311,11.749,11.555,11.251,20,11.422,11.733,False,False,True,bare,228.88
control.tg_t2_A75.bare.b4,a026b4fba5db459da7234b30fd23db50,56,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t2_A75.bare.b4.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,4,False,47.8,True,,,,invocation_incl_setup,39100.0,0xC0,control:bare,,,,,,,,,,0,4,0,True,5,,,1429008.25,1428778.22,,,tg,2,2560,,0.101,11.589,11.548,11.189,20,11.465,11.566,False,False,True,bare,230.03
control.tg_t2_A75.bare.b5,bcae25208210430ebb3e6802141f97c8,53,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t2_A75.bare.b5.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,5,False,47.9,True,,,,invocation_incl_setup,39300.0,0xC0,control:bare,,,,,,,,,,0,5,0,True,5,,,1430727.15,1430497.62,,,tg,2,2560,,0.042,11.633,11.568,10.704,20,11.544,11.586,False,False,True,bare,229.53
control.tg_t2_A75.bare.b6,878968208fcc471dbabe369f9f3c5823,51,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t2_A75.bare.b6.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,6,False,47.8,True,,,,invocation_incl_setup,39300.0,0xC0,control:bare,,,,,,,,,,0,6,0,True,5,,,1431853.86,1431624.09,,,tg,2,2560,,0.048,11.583,11.544,11.175,20,11.508,11.556,False,False,True,bare,229.77
control.tg_t2_A75.bare.b7,2ae18d219910430a952bfbe530a852f2,48,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t2_A75.bare.b7.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,7,False,47.9,True,,,,invocation_incl_setup,39700.0,0xC0,control:bare,,,,,,,,,,0,7,0,True,5,,,1433844.3,1433617.47,,,tg,2,2560,,0.163,11.773,11.738,11.249,20,11.588,11.751,False,False,True,bare,226.83
control.tg_t6_free.bare.b0,2c40e07ce4ad45818acbb99f66b20772,69,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t6_free.bare.b0.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,0,False,47.8,True,,,,invocation_incl_setup,39500.0,free,control:bare,,,,,,,,,,0,0,0,True,5,,,1420736.28,1420503.02,,,tg,6,2560,,0.259,12.07,11.349,10.835,20,11.201,11.46,False,False,True,bare,233.26
control.tg_t6_free.bare.b1,90a95259d7df47cfb2eaf36d65dfb060,66,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_control.tg_t6_free.bare.b1.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,1,False,47.8,True,,,,invocation_incl_setup,40100.0,free,control:bare,,,,,,,,,,0,1,0,True,5,,,1422493.13,1422258.53,,,tg,6,2560,,0.235,11.621,11.287,10.783,20,11.12,11.355,False,False,True,bare,234.6
