arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,config,cool_timeout,cool_wait_s,device_online,energy_scope,entry_temp_mC,mask,mode,multiplexed,n_invocations,raw,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,t_end,t_start,test,threads,tokens_counted,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,variant,wall_s
counters.tg_t2_A55.a55,fd5916aa892542cdabfe9c7f9d7692ce,70,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t2_A55.a55.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_A55,False,47.8,True,invocation_incl_setup,38800.0,0x03,counters:a55,False,1,"Performance counter statistics:

# cpu            count  event_name                                # count / runtime
  0    145,720,292,910  cpu-cycles:u                              # 0.773462 GHz 
  1    156,409,555,235  cpu-cycles:u                              # 0.776367 GHz 
  4             19,336  cpu-cycles:u                              # 0.093515 GHz 
  6          7,923,828  cpu-cycles:u                              # 0.292013 GHz 
  0     99,133,532,418  instructions:u                            # 526.186 M/sec
  1    109,011,244,198  instructions:u                            # 541.097 M/sec
  4             14,553  instructions:u                            # 70.383 M/sec 
  6          9,351,475  instructions:u                            # 344.626 M/sec
  0     18,565,655,550  raw-cortex-a55-stall-backend-ilock:u      # 98.544 M/sec 
  1     21,744,885,412  raw-cortex-a55-stall-backend-ilock:u      # 107.935 M/sec
  4              1,006  raw-cortex-a55-stall-backend-ilock:u      # 4.865 M/sec  
  6             57,074  raw-cortex-a55-stall-backend-ilock:u      # 2.103 M/sec  
  0      9,306,729,938  raw-cortex-a55-stall-backend-ld-cache:u   # 49.399 M/sec 
  1      9,821,176,651  raw-cortex-a55-stall-backend-ld-cache:u   # 48.749 M/sec 
  4                622  raw-cortex-a55-stall-backend-ld-cache:u   # 3.008 M/sec  
  6              1,470  raw-cortex-a55-stall-backend-ld-cache:u   # 54.173 K/sec 

Total test time: 203.579397 seconds.
",0,0,0,True,5,1420163.2,1419958.22,tg,2,1280,0.009,6.832,6.825,6.798,10,6.819,6.828,False,False,True,a55,204.98
counters.tg_t2_A75.a55,8989a07714a4447c9c91961767b2edb9,71,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t2_A75.a55.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_A75,False,47.8,True,invocation_incl_setup,38600.0,0xC0,counters:a55,False,1,"Performance counter statistics:

# cpu            count  event_name                                # count / runtime
  6     93,712,819,673  cpu-cycles:u                              # 0.801017 GHz 
  7     89,605,825,755  cpu-cycles:u                              # 0.805788 GHz 
  6    102,920,219,537  instructions:u                            # 879.718 M/sec
  7    103,273,082,846  instructions:u                            # 928.691 M/sec
  6        246,198,478  raw-cortex-a55-stall-backend-ilock:u      # 2.104 M/sec  
  7        252,745,379  raw-cortex-a55-stall-backend-ilock:u      # 2.273 M/sec  
  6            842,907  raw-cortex-a55-stall-backend-ld-cache:u   # 7.205 K/sec  
  7            737,632  raw-cortex-a55-stall-backend-ld-cache:u   # 6.633 K/sec  

Total test time: 117.634716 seconds.
",0,0,0,True,5,1419071.93,1418952.86,tg,2,1280,0.033,11.61,11.568,11.431,10,11.548,11.582,False,False,True,a55,119.07
counters.tg_t2_free.a55,cece01efba3f47328b86602a2d067502,72,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t2_free.a55.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_free,False,47.8,True,invocation_incl_setup,39100.0,free,counters:a55,False,1,"Performance counter statistics:

# cpu            count  event_name                                # count / runtime
  0        108,214,832  cpu-cycles:u                              # 0.753160 GHz 
  1        211,896,012  cpu-cycles:u                              # 0.781257 GHz 
  2        165,751,204  cpu-cycles:u                              # 0.781369 GHz 
  3        147,270,631  cpu-cycles:u                              # 0.760845 GHz 
  4        273,307,526  cpu-cycles:u                              # 0.771238 GHz 
  5        725,950,543  cpu-cycles:u                              # 0.781671 GHz 
  6     88,274,535,327  cpu-cycles:u                              # 0.808732 GHz 
  7     93,927,687,789  cpu-cycles:u                              # 0.801754 GHz 
  0         68,462,071  instructions:u                            # 476.486 M/sec
  1        145,515,539  instructions:u                            # 536.513 M/sec
  2        115,235,735  instructions:u                            # 543.234 M/sec
  3         98,664,767  instructions:u                            # 509.733 M/sec
  4        181,071,156  instructions:u                            # 510.959 M/sec
  5        496,001,789  instructions:u                            # 534.072 M/sec
  6    101,363,079,088  instructions:u                            # 928.644 M/sec
  7    103,767,672,728  instructions:u                            # 885.746 M/sec
  0          9,884,698  raw-cortex-a55-stall-backend-ilock:u      # 68.796 M/sec 
  1         26,623,831  raw-cortex-a55-stall-backend-ilock:u      # 98.162 M/sec 
  2         20,364,754  raw-cortex-a55-stall-backend-ilock:u      # 96.002 M/sec 
  3         15,146,543  raw-cortex-a55-stall-backend-ilock:u      # 78.252 M/sec 
  4         33,544,677  raw-cortex-a55-stall-backend-ilock:u      # 94.659 M/sec 
  5         93,429,005  raw-cortex-a55-stall-backend-ilock:u      # 100.600 M/sec
  6        224,711,258  raw-cortex-a55-stall-backend-ilock:u      # 2.059 M/sec  
  7        220,938,653  raw-cortex-a55-stall-backend-ilock:u      # 1.886 M/sec  
  0         10,728,609  raw-cortex-a55-stall-backend-ld-cache:u   # 74.670 M/sec 
  1         15,634,028  raw-cortex-a55-stall-backend-ld-cache:u   # 57.642 M/sec 
  2         12,235,795  raw-cortex-a55-stall-backend-ld-cache:u   # 57.681 M/sec 
  3         12,512,758  raw-cortex-a55-stall-backend-ld-cache:u   # 64.645 M/sec 
  4         23,586,955  raw-cortex-a55-stall-backend-ld-cache:u   # 66.559 M/sec 
  5         58,476,141  raw-cortex-a55-stall-backend-ld-cache:u   # 62.964 M/sec 
  6            719,020  raw-cortex-a55-stall-backend-ld-cache:u   # 6.587 K/sec  
  7            886,867  raw-cortex-a55-stall-backend-ld-cache:u   # 7.570 K/sec  

Total test time: 117.887481 seconds.
",0,0,0,True,5,1418444.93,1418325.72,tg,2,1280,0.051,11.638,11.592,10.948,10,11.57,11.621,False,False,True,a55,119.21
counters.tg_t4_free.a55,0cfac8ba991f438f9889a4a5985c58f6,70,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t4_free.a55.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t4_free,False,47.9,True,invocation_incl_setup,39900.0,free,counters:a55,False,1,"Performance counter statistics:

# cpu            count  event_name                                # count / runtime
  0     20,387,866,645  cpu-cycles:u                              # 0.747763 GHz 
  1     21,969,694,323  cpu-cycles:u                              # 0.754357 GHz 
  2     27,815,339,045  cpu-cycles:u                              # 0.757500 GHz 
  3     25,229,028,088  cpu-cycles:u                              # 0.756694 GHz 
  4     27,762,433,175  cpu-cycles:u                              # 0.759528 GHz 
  5     32,158,731,726  cpu-cycles:u                              # 0.759567 GHz 
  6     78,962,681,319  cpu-cycles:u                              # 0.791249 GHz 
  7     76,949,877,537  cpu-cycles:u                              # 0.794010 GHz 
  0     14,065,243,668  instructions:u                            # 515.869 M/sec
  1     15,222,802,198  instructions:u                            # 522.694 M/sec
  2     19,459,096,134  instructions:u                            # 529.933 M/sec
  3     17,612,463,206  instructions:u                            # 528.251 M/sec
  4     19,702,540,572  instructions:u                            # 539.025 M/sec
  5     22,617,351,309  instructions:u                            # 534.206 M/sec
  6    106,567,053,923  instructions:u                            # 1.068 G/sec  
  7    103,350,770,896  instructions:u                            # 1.066 G/sec  
  0      2,632,088,099  raw-cortex-a55-stall-backend-ilock:u      # 96.537 M/sec 
  1      2,762,277,010  raw-cortex-a55-stall-backend-ilock:u      # 94.846 M/sec 
  2      3,613,300,914  raw-cortex-a55-stall-backend-ilock:u      # 98.402 M/sec 
  3      3,250,987,673  raw-cortex-a55-stall-backend-ilock:u      # 97.507 M/sec 
  4      3,599,170,797  raw-cortex-a55-stall-backend-ilock:u      # 98.467 M/sec 
  5      4,251,595,138  raw-cortex-a55-stall-backend-ilock:u      # 100.420 M/sec
  6        151,932,867  raw-cortex-a55-stall-backend-ilock:u      # 1.522 M/sec  
  7        152,636,097  raw-cortex-a55-stall-backend-ilock:u      # 1.575 M/sec  
  0      2,522,977,990  raw-cortex-a55-stall-backend-ld-cache:u   # 92.535 M/sec 
  1      2,779,940,458  raw-cortex-a55-stall-backend-ld-cache:u   # 95.453 M/sec 
  2      3,432,847,358  raw-cortex-a55-stall-backend-ld-cache:u   # 93.487 M/sec 
  3      3,182,543,596  raw-cortex-a55-stall-backend-ld-cache:u   # 95.454 M/sec 
  4      3,466,922,432  raw-cortex-a55-stall-backend-ld-cache:u   # 94.849 M/sec 
  5      4,037,783,658  raw-cortex-a55-stall-backend-ld-cache:u   # 95.370 M/sec 
  6          1,526,191  raw-cortex-a55-stall-backend-ld-cache:u   # 15.293 K/sec 
  7          1,393,157  raw-cortex-a55-stall-backend-ld-cache:u   # 14.375 K/sec 

Total test time: 109.490811 seconds.
",0,0,0,True,5,1419426.72,1419315.91,tg,4,1280,0.633,13.458,13.069,9.55,10,12.612,13.245,False,False,True,a55,110.81
counters.tg_t4_mix.a55,176f659df1284c629ed3c3bfdffdb7ef,70,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t4_mix.a55.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t4_mix,False,47.9,True,invocation_incl_setup,38800.0,0xC3,counters:a55,False,1,"Performance counter statistics:

# cpu            count  event_name                                # count / runtime
  0     71,151,650,120  cpu-cycles:u                              # 0.763693 GHz 
  1     71,830,752,016  cpu-cycles:u                              # 0.767528 GHz 
  6     81,693,916,486  cpu-cycles:u                              # 0.795005 GHz 
  7     77,802,655,820  cpu-cycles:u                              # 0.806653 GHz 
  0     49,256,349,049  instructions:u                            # 528.684 M/sec
  1     50,304,806,311  instructions:u                            # 537.518 M/sec
  6    111,131,259,873  instructions:u                            # 1.081 G/sec  
  7    103,697,569,833  instructions:u                            # 1.075 G/sec  
  0      8,850,656,161  raw-cortex-a55-stall-backend-ilock:u      # 94.997 M/sec 
  1      8,860,103,659  raw-cortex-a55-stall-backend-ilock:u      # 94.672 M/sec 
  6        172,735,632  raw-cortex-a55-stall-backend-ilock:u      # 1.681 M/sec  
  7        170,481,031  raw-cortex-a55-stall-backend-ilock:u      # 1.768 M/sec  
  0      8,703,791,837  raw-cortex-a55-stall-backend-ld-cache:u   # 93.421 M/sec 
  1      8,708,852,478  raw-cortex-a55-stall-backend-ld-cache:u   # 93.056 M/sec 
  6            898,988  raw-cortex-a55-stall-backend-ld-cache:u   # 8.749 K/sec  
  7            725,265  raw-cortex-a55-stall-backend-ld-cache:u   # 7.520 K/sec  

Total test time: 104.265512 seconds.
",0,0,0,True,5,1419582.94,1419477.25,tg,4,1280,0.487,13.619,13.182,12.639,10,12.912,13.4,False,False,True,a55,105.69
counters.tg_t6_A55.a55,51e56cf322874427bd62e380fbf47df4,71,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t6_A55.a55.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t6_A55,False,47.9,True,invocation_incl_setup,38600.0,0x3F,counters:a55,False,1,"Performance counter statistics:

# cpu           count  event_name                                # count / runtime
  0    88,306,613,990  cpu-cycles:u                              # 0.709674 GHz 
  1    89,977,241,543  cpu-cycles:u                              # 0.713067 GHz 
  2    93,582,069,436  cpu-cycles:u                              # 0.727220 GHz 
  3    88,199,941,157  cpu-cycles:u                              # 0.720965 GHz 
  4    88,712,244,505  cpu-cycles:u                              # 0.722118 GHz 
  5    88,967,740,906  cpu-cycles:u                              # 0.723408 GHz 
  6         8,008,607  cpu-cycles:u                              # 0.295924 GHz 
  0    65,351,429,807  instructions:u                            # 525.195 M/sec
  1    66,074,822,652  instructions:u                            # 523.641 M/sec
  2    66,401,363,487  instructions:u                            # 516.000 M/sec
  3    63,389,019,711  instructions:u                            # 518.155 M/sec
  4    64,174,613,114  instructions:u                            # 522.382 M/sec
  5    66,663,717,363  instructions:u                            # 542.051 M/sec
  6         9,366,285  instructions:u                            # 346.091 M/sec
  0    12,435,014,905  raw-cortex-a55-stall-backend-ilock:u      # 99.934 M/sec 
  1    12,387,557,474  raw-cortex-a55-stall-backend-ilock:u      # 98.171 M/sec 
  2    15,498,396,954  raw-cortex-a55-stall-backend-ilock:u      # 120.437 M/sec
  3    12,330,431,782  raw-cortex-a55-stall-backend-ilock:u      # 100.792 M/sec
  4    12,498,322,567  raw-cortex-a55-stall-backend-ilock:u      # 101.736 M/sec
  5    12,538,148,930  raw-cortex-a55-stall-backend-ilock:u      # 101.949 M/sec
  6            65,640  raw-cortex-a55-stall-backend-ilock:u      # 2.425 M/sec  
  0    15,666,414,162  raw-cortex-a55-stall-backend-ld-cache:u   # 125.903 M/sec
  1    17,278,770,983  raw-cortex-a55-stall-backend-ld-cache:u   # 136.934 M/sec
  2    17,445,626,199  raw-cortex-a55-stall-backend-ld-cache:u   # 135.569 M/sec
  3    17,368,068,352  raw-cortex-a55-stall-backend-ld-cache:u   # 141.970 M/sec
  4    17,053,629,829  raw-cortex-a55-stall-backend-ld-cache:u   # 138.817 M/sec
  5    15,803,686,991  raw-cortex-a55-stall-backend-ld-cache:u   # 128.502 M/sec
  6             1,480  raw-cortex-a55-stall-backend-ld-cache:u   # 54.687 K/sec 

Total test time: 141.310950 seconds.
",0,0,0,True,5,1419265.56,1419122.84,tg,6,1280,0.148,10.389,10.339,9.53,10,10.212,10.359,False,False,True,a55,142.72
counters.tg_t6_free.a55,53f32f2baf304615becd7c4c5ab13a5d,72,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t6_free.a55.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t6_free,False,47.9,True,invocation_incl_setup,39500.0,free,counters:a55,False,1,"Performance counter statistics:

# cpu            count  event_name                                # count / runtime
  0     48,189,030,842  cpu-cycles:u                              # 0.705520 GHz 
  1     50,946,776,295  cpu-cycles:u                              # 0.711334 GHz 
  2     51,898,914,617  cpu-cycles:u                              # 0.714065 GHz 
  3     53,154,103,104  cpu-cycles:u                              # 0.714539 GHz 
  4     48,991,078,793  cpu-cycles:u                              # 0.716322 GHz 
  5     50,972,709,849  cpu-cycles:u                              # 0.717362 GHz 
  6     87,453,930,335  cpu-cycles:u                              # 0.770578 GHz 
  7     83,612,022,565  cpu-cycles:u                              # 0.780774 GHz 
  0     35,831,293,604  instructions:u                            # 524.594 M/sec
  1     37,990,869,691  instructions:u                            # 530.440 M/sec
  2     38,972,437,607  instructions:u                            # 536.212 M/sec
  3     39,933,330,914  instructions:u                            # 536.815 M/sec
  4     37,135,705,575  instructions:u                            # 542.979 M/sec
  5     38,416,210,526  instructions:u                            # 540.649 M/sec
  6    131,069,805,833  instructions:u                            # 1.155 G/sec  
  7    123,274,044,074  instructions:u                            # 1.151 G/sec  
  0      6,859,867,605  raw-cortex-a55-stall-backend-ilock:u      # 100.433 M/sec
  1      7,302,107,597  raw-cortex-a55-stall-backend-ilock:u      # 101.954 M/sec
  2      7,408,214,355  raw-cortex-a55-stall-backend-ilock:u      # 101.928 M/sec
  3      7,656,947,237  raw-cortex-a55-stall-backend-ilock:u      # 102.931 M/sec
  4      7,112,205,398  raw-cortex-a55-stall-backend-ilock:u      # 103.991 M/sec
  5      7,472,213,931  raw-cortex-a55-stall-backend-ilock:u      # 105.160 M/sec
  6        148,620,503  raw-cortex-a55-stall-backend-ilock:u      # 1.310 M/sec  
  7        146,127,142  raw-cortex-a55-stall-backend-ilock:u      # 1.365 M/sec  
  0      8,423,758,060  raw-cortex-a55-stall-backend-ld-cache:u   # 123.329 M/sec
  1      9,120,534,714  raw-cortex-a55-stall-backend-ld-cache:u   # 127.344 M/sec
  2      9,365,440,206  raw-cortex-a55-stall-backend-ld-cache:u   # 128.857 M/sec
  3      9,701,111,494  raw-cortex-a55-stall-backend-ld-cache:u   # 130.410 M/sec
  4      8,774,117,830  raw-cortex-a55-stall-backend-ld-cache:u   # 128.291 M/sec
  5      9,103,481,984  raw-cortex-a55-stall-backend-ld-cache:u   # 128.117 M/sec
  6            664,267  raw-cortex-a55-stall-backend-ld-cache:u   # 5.853 K/sec  
  7            478,766  raw-cortex-a55-stall-backend-ld-cache:u   # 4.471 K/sec  

Total test time: 117.593563 seconds.
",0,0,0,True,5,1418275.42,1418156.49,tg,6,1280,0.276,11.834,11.606,11.232,10,11.395,11.672,False,False,True,a55,118.93
counters.tg_t8_free.a55,5e8dc05dfdb345759aaaf75ea3c9ce3d,71,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t8_free.a55.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t8_free,False,47.8,True,invocation_incl_setup,38600.0,free,counters:a55,False,1,"Performance counter statistics:

# cpu            count  event_name                                # count / runtime
  0    127,736,328,975  cpu-cycles:u                              # 0.699917 GHz 
  1    131,855,120,152  cpu-cycles:u                              # 0.709173 GHz 
  2    133,298,313,297  cpu-cycles:u                              # 0.711654 GHz 
  3    133,248,895,372  cpu-cycles:u                              # 0.710929 GHz 
  4    133,598,485,669  cpu-cycles:u                              # 0.713879 GHz 
  5    133,785,954,742  cpu-cycles:u                              # 0.714488 GHz 
  6    154,385,406,045  cpu-cycles:u                              # 0.778442 GHz 
  7    159,617,270,248  cpu-cycles:u                              # 0.775575 GHz 
  0    121,725,148,993  instructions:u                            # 666.980 M/sec
  1    126,451,567,822  instructions:u                            # 680.110 M/sec
  2    128,307,123,783  instructions:u                            # 685.007 M/sec
  3    128,404,006,108  instructions:u                            # 685.079 M/sec
  4    128,503,977,334  instructions:u                            # 686.657 M/sec
  5    128,103,480,721  instructions:u                            # 684.141 M/sec
  6    287,559,208,852  instructions:u                            # 1.450 G/sec  
  7    298,863,784,661  instructions:u                            # 1.452 G/sec  
  0     24,119,047,969  raw-cortex-a55-stall-backend-ilock:u      # 132.158 M/sec
  1     24,989,145,334  raw-cortex-a55-stall-backend-ilock:u      # 134.402 M/sec
  2     25,376,649,161  raw-cortex-a55-stall-backend-ilock:u      # 135.481 M/sec
  3     25,413,859,053  raw-cortex-a55-stall-backend-ilock:u      # 135.592 M/sec
  4     25,414,955,568  raw-cortex-a55-stall-backend-ilock:u      # 135.804 M/sec
  5     25,279,308,407  raw-cortex-a55-stall-backend-ilock:u      # 135.005 M/sec
  6        116,207,305  raw-cortex-a55-stall-backend-ilock:u      # 585.940 K/sec
  7        117,580,147  raw-cortex-a55-stall-backend-ilock:u      # 571.318 K/sec
  0     16,181,499,737  raw-cortex-a55-stall-backend-ld-cache:u   # 88.665 M/sec 
  1     16,946,625,217  raw-cortex-a55-stall-backend-ld-cache:u   # 91.146 M/sec 
  2     17,113,635,096  raw-cortex-a55-stall-backend-ld-cache:u   # 91.366 M/sec 
  3     17,148,373,481  raw-cortex-a55-stall-backend-ld-cache:u   # 91.492 M/sec 
  4     17,215,752,605  raw-cortex-a55-stall-backend-ld-cache:u   # 91.992 M/sec 
  5     17,222,544,319  raw-cortex-a55-stall-backend-ld-cache:u   # 91.978 M/sec 
  6            788,266  raw-cortex-a55-stall-backend-ld-cache:u   # 3.975 K/sec  
  7            890,407  raw-cortex-a55-stall-backend-ld-cache:u   # 4.326 K/sec  

Total test time: 215.446197 seconds.
",0,0,0,True,5,1418902.51,1418685.73,tg,8,1280,0.394,6.585,6.155,5.332,10,6.044,6.438,False,False,True,a55,216.78
counters.tg_t2_A55.core,222acb9c7a174acc9ca8e5cb9f323688,73,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t2_A55.core.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_A55,False,47.8,True,invocation_incl_setup,41400.0,0x03,counters:core,False,1,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  0    152,283,920,529  cpu-cycles:u             # 0.755355 GHz 
  1    152,403,612,039  cpu-cycles:u             # 0.778613 GHz 
  7          8,129,869  cpu-cycles:u             # 0.288782 GHz 
  0    100,012,033,204  instructions:u           # 496.077 M/sec
  1    111,222,171,049  instructions:u           # 568.222 M/sec
  7          9,366,795  instructions:u           # 332.719 M/sec
  0     48,027,304,675  raw-stall-backend:u      # 238.224 M/sec
  1     42,513,253,252  raw-stall-backend:u      # 217.196 M/sec
  7          2,966,261  raw-stall-backend:u      # 105.365 M/sec
  0      2,438,804,199  raw-ll-cache-miss-rd:u   # 12.097 M/sec 
  1      2,095,335,091  raw-ll-cache-miss-rd:u   # 10.705 M/sec 
  7             33,774  raw-ll-cache-miss-rd:u   # 1.200 M/sec  

Total test time: 209.740151 seconds.
",0,0,0,True,5,1417773.47,1417562.25,tg,2,1280,0.087,6.827,6.818,6.293,10,6.739,6.826,False,False,True,core,211.22
counters.tg_t2_A75.core,61e8a7d4cbf34bb499efef43c53b1eea,72,Discharging,Discharging,out/llama-bench-kai/bench_json/bench_counters.tg_t2_A75.core.json,llama-bench-kai,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_A75,False,47.7,True,invocation_incl_setup,40400.0,0xC0,counters:core,False,1,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  6     93,037,665,289  cpu-cycles:u             # 0.810445 GHz 
  7     97,447,025,719  cpu-cycles:u             # 0.814125 GHz 
  6    102,765,061,860  instructions:u           # 895.179 M/sec
  7    111,534,624,794  instructions:u           # 931.821 M/sec
  6     57,453,746,090  raw-stall-backend:u      # 500.476 M/sec
  7     58,920,109,282  raw-stall-backend:u      # 492.251 M/sec
  6      5,035,036,374  raw-ll-cache-miss-rd:u   # 43.860 M/sec 
  7      5,095,870,900  raw-ll-cache-miss-rd:u   # 42.574 M/sec 

Total test time: 125.303347 seconds.
",0,0,0,True,5,1417950.53,1417823.77,tg,2,1280,0.146,11.809,10.889,10.628,10,10.812,10.958,False,False,True,core,126.76
