boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
1403452.75,774000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,4285,4410000
1403454.44,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,4285,4410000
1403456.15,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,4278,4410000
1403457.90,774000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,4278,4410000
1403459.67,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,4278,4410000
1403461.37,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,4285,4410000
1403463.02,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,4285,4410000
1403464.75,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,4285,4410000
1403466.48,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,4285,4410000
1403468.23,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,4274,4410000
1403470.33,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,4274,4410000
1403472.18,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,4273,4410000
1403474.16,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,4273,4410000
1403476.20,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,4273,4410000
1403478.08,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,4275,4410000
1403480.03,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,4275,4410000
1403482.01,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,4275,4410000
1403483.98,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,4279,4410000
1403485.94,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,4279,4410000
1403487.90,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,4279,4410000
1403489.83,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,4278,4410000
1403491.71,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,4278,4410000
1403493.57,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,4278,4410000
1403495.43,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,4277,4410000
1403497.29,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,4277,4410000
1403499.14,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,4277,4410000
1403501.01,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,4275,4410000
1403502.88,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,4275,4410000
1403504.73,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,4275,4410000
1403506.56,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,4277,4410000
1403508.48,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,4277,4410000
1403510.44,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,4277,4410000
1403512.40,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,4276,4410000
1403514.39,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,4276,4410000
1403516.38,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,4275,4410000
