a55_ilock_over_ldcache,a55_ilock_pct,a55_ipc,a55_ldcache_pct,a75_ipc,a75_traffic_share_pct,config,cpu0_ilock_pct,cpu0_ipc,cpu0_ldcache_pct,cpu0_miss,cpu0_stall_pct,cpu1_ilock_pct,cpu1_ipc,cpu1_ldcache_pct,cpu1_miss,cpu1_stall_pct,cpu2_ilock_pct,cpu2_ipc,cpu2_ldcache_pct,cpu2_miss,cpu2_stall_pct,cpu3_ilock_pct,cpu3_ipc,cpu3_ldcache_pct,cpu3_miss,cpu3_stall_pct,cpu4_ilock_pct,cpu4_ipc,cpu4_ldcache_pct,cpu4_miss,cpu4_stall_pct,cpu5_ilock_pct,cpu5_ipc,cpu5_ldcache_pct,cpu5_miss,cpu5_stall_pct,cpu6_ilock_pct,cpu6_ipc,cpu6_ldcache_pct,cpu6_miss,cpu6_stall_pct,cpu7_ilock_pct,cpu7_ipc,cpu7_ldcache_pct,cpu7_miss,cpu7_stall_pct,dram_read_gbps,mask,mode,multiplexed,n_invocations,threads,wall_s
4.75,22.4,0.544,4.7,1.169,,tg_t2_A55,22.2,0.556,4.4,0,,22.7,0.533,5.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.169,0.0,0,,,0x03,counters:a55,False,1,2,224.36
,,,,1.012,,tg_t2_A75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.981,0.0,0,,0.2,1.044,0.0,0,,,0xC0,counters:a55,False,1,2,114.84
4.35,22.6,0.549,5.2,1.011,,tg_t2_free,22.7,0.549,5.0,0,,22.8,0.553,4.9,0,,22.5,0.532,5.4,0,,23.0,0.553,5.1,0,,22.5,0.552,5.1,0,,22.5,0.552,5.4,0,,0.2,0.997,0.0,0,,0.2,1.023,0.0,0,,,free,counters:a55,False,1,2,117.16
3.96,22.4,0.577,5.7,1.119,,tg_t4_free,22.7,0.575,5.8,0,,22.2,0.588,5.6,0,,22.7,0.568,5.8,0,,22.7,0.566,5.9,0,,22.3,0.583,5.5,0,,22.2,0.581,5.6,0,,0.2,1.115,0.0,0,,0.2,1.123,0.0,0,,,free,counters:a55,False,1,4,91.42
4.08,22.7,0.581,5.6,1.171,,tg_t4_mix,23.2,0.554,5.9,0,,22.3,0.608,5.3,0,,,,,,,,,,,,,,,,,,,,,,0.2,1.174,0.0,0,,0.2,1.169,0.0,0,,,0xC3,counters:a55,False,1,4,93.74
1.75,20.9,0.608,12.0,1.154,,tg_t6_A55,21.1,0.627,10.4,0,,20.6,0.6,12.3,0,,20.6,0.611,12.6,0,,21.1,0.547,14.2,0,,20.8,0.626,11.8,0,,21.2,0.639,10.4,0,,0.9,1.154,0.0,0,,,,,,,,0x3F,counters:a55,False,1,6,107.88
1.71,21.0,0.605,12.2,1.149,,tg_t6_free,21.0,0.61,11.2,0,,21.0,0.613,11.3,0,,21.1,0.599,11.6,0,,21.1,0.587,12.8,0,,20.9,0.616,12.6,0,,20.8,0.615,12.5,0,,0.1,1.133,0.0,0,,0.1,1.163,0.0,0,,,free,counters:a55,False,1,6,85.49
1.34,20.5,0.691,15.3,1.322,,tg_t8_free,20.4,0.69,14.3,0,,20.5,0.682,15.4,0,,21.1,0.653,16.0,0,,20.2,0.707,15.5,0,,20.3,0.713,15.3,0,,20.2,0.701,15.0,0,,0.1,1.304,0.0,0,,0.1,1.34,0.0,0,,,free,counters:a55,False,1,8,99.43
,,0.543,,1.157,0.0,tg_t2_A55,,0.522,,2070723301,37.5,,0.564,,1943712875,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.157,,31941,35.9,1.149,0x03,counters:core,False,1,2,223.57
,,,,1.016,100.0,tg_t2_A75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.041,,5615051247,61.1,,0.991,,5654334104,62.6,6.364,0xC0,counters:core,False,1,2,113.33
