arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,charge_delta_uah,config,cool_timeout,cool_wait_s,device_online,energy_j,energy_j_timestamped,energy_metric_used,energy_scope,entry_temp_mC,mask,mode,perfetto_trace,policy0_khz_max,policy0_khz_mean,policy6_khz_max,policy6_khz_mean,power_w_mean,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,suspend_detected,suspend_detected_by_device,t_end,t_start,telemetry_csv,telemetry_samples,test,threads,tokens_counted,tokens_per_joule,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,wall_s
sweep.pp_t2_A75.b0,2ae72b04e6a94f1f8c1898d17ce31ea7,100,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t2_A75.b0.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,21000.0,pp_t2_A75,False,47.8,True,373.87,373.91,energy_j_timestamped,invocation_incl_setup,39600.0,0xC0,sweep,out/llama-bench/traces/sweep.pp_t2_A75.b0.perfetto-trace,850000.0,846842.8,850000.0,850000.0,0.819,0,0,160,True,5,False,False,1361082.35,1360626.08,out/llama-bench/telemetry/sweep.pp_t2_A75.b0.csv,159,pp,2,10240,27.386,0.266,24.3,24.13,21.171,20,23.933,24.199,True,False,True,456.27
sweep.pp_t2_A75.b1,5bd5f5fbf59e49dbb431c68c6ab36a66,92,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t2_A75.b1.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,15000.0,pp_t2_A75,False,47.8,True,350.19,347.23,energy_j_timestamped,invocation_incl_setup,40100.0,0xC0,sweep,,850000.0,850000.0,850000.0,850000.0,0.78,0,1,160,True,5,False,False,1365912.18,1365463.07,out/llama-bench/telemetry/sweep.pp_t2_A75.b1.csv,159,pp,2,10240,29.491,0.074,24.383,24.312,23.15,20,24.281,24.355,False,False,True,449.11
sweep.pp_t2_A75.b2,156d1d2e663e45dfa5b0b38722d1f858,84,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t2_A75.b2.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,24000.0,pp_t2_A75,False,47.9,True,341.56,339.11,energy_j_timestamped,invocation_incl_setup,39500.0,0xC0,sweep,,850000.0,842918.2,850000.0,850000.0,0.759,0,2,160,True,5,False,False,1371807.77,1371357.67,out/llama-bench/telemetry/sweep.pp_t2_A75.b2.csv,159,pp,2,10240,30.197,0.102,24.412,24.358,20.924,20,24.281,24.383,False,False,True,450.1
sweep.pp_t6_A55.b0,22341b58ba704e7a8f4b863cccdf557a,96,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t6_A55.b0.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,21000.0,pp_t6_A55,False,47.8,True,252.36,252.07,energy_j_timestamped,invocation_incl_setup,39600.0,0x3F,sweep,out/llama-bench/traces/sweep.pp_t6_A55.b0.perfetto-trace,850000.0,850000.0,850000.0,850000.0,0.931,0,0,144,True,5,False,False,1363657.27,1363386.19,out/llama-bench/telemetry/sweep.pp_t6_A55.b0.csv,143,pp,6,10240,40.624,3.959,44.147,42.21,35.505,20,39.439,43.398,True,False,True,271.08
sweep.pp_t6_A55.b1,17a74d73736543679edf64b30b7111d0,89,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t6_A55.b1.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,0.0,pp_t6_A55,False,47.8,True,240.4,238.73,energy_j_timestamped,invocation_incl_setup,39700.0,0x3F,sweep,,850000.0,850000.0,850000.0,850000.0,0.916,0,1,144,True,5,False,False,1367650.58,1367388.06,out/llama-bench/telemetry/sweep.pp_t6_A55.b1.csv,143,pp,6,10240,42.894,1.009,44.455,43.07,37.262,20,42.226,43.235,False,False,True,262.52
sweep.pp_t6_A55.b2,508a7a2ae01645d6b7638eee465feed9,84,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t6_A55.b2.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,7000.0,pp_t6_A55,False,47.8,True,262.69,259.29,energy_j_timestamped,invocation_incl_setup,39700.0,0x3F,sweep,,850000.0,850000.0,850000.0,850000.0,0.934,0,2,151,True,5,False,False,1371307.06,1371025.85,out/llama-bench/telemetry/sweep.pp_t6_A55.b2.csv,150,pp,6,10240,39.492,5.121,43.156,41.077,32.907,20,36.671,41.792,False,False,True,281.21
sweep.pp_t8_free.b0,60381419fdd8471cbd72f9aa4568a1e5,98,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t8_free.b0.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,54000.0,pp_t8_free,False,47.8,True,861.48,901.27,energy_j_timestamped,invocation_incl_setup,39700.0,free,sweep,out/llama-bench/traces/sweep.pp_t8_free.b0.perfetto-trace,850000.0,849164.8,850000.0,850000.0,1.57,0,0,92,True,5,False,False,1362508.21,1361959.48,out/llama-bench/telemetry/sweep.pp_t8_free.b0.csv,91,pp,8,10240,11.362,21.722,51.498,19.471,10.671,20,13.825,35.547,True,False,True,548.73
sweep.pp_t8_free.b1,d6eb300a595a426998ae0370e04030ba,90,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t8_free.b1.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,22000.0,pp_t8_free,False,47.8,True,267.0,262.45,energy_j_timestamped,invocation_incl_setup,40500.0,free,sweep,,850000.0,843641.8,850000.0,850000.0,1.076,0,1,68,True,5,False,False,1367337.61,1367089.52,out/llama-bench/telemetry/sweep.pp_t8_free.b1.csv,67,pp,8,10240,39.017,7.927,50.03,48.428,34.1,20,41.675,49.602,False,False,True,248.09
sweep.pp_t8_free.b2,733a8d90152746cfa160093c0fff1e3d,87,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.pp_t8_free.b2.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,12000.0,pp_t8_free,False,47.9,True,254.13,249.75,energy_j_timestamped,invocation_incl_setup,40500.0,free,sweep,,850000.0,843735.3,850000.0,850000.0,1.07,0,2,69,True,5,False,False,1368998.01,1368760.55,out/llama-bench/telemetry/sweep.pp_t8_free.b2.csv,68,pp,8,10240,41.001,6.324,50.624,47.384,42.074,20,43.173,49.497,False,False,True,237.46
sweep.tg_t2_A55.b0,b054dc6d709e4f0db01a56c032a155ee,96,Discharging,Discharging,out/llama-bench/bench_json/bench_sweep.tg_t2_A55.b0.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,20000.0,tg_t2_A55,False,47.8,True,392.09,392.16,energy_j_timestamped,invocation_incl_setup,40500.0,0x03,sweep,out/llama-bench/traces/sweep.tg_t2_A55.b0.perfetto-trace,850000.0,850000.0,850000.0,850000.0,0.882,0,0,230,True,5,False,False,1363333.01,1362888.68,out/llama-bench/telemetry/sweep.tg_t2_A55.b0.csv,229,tg,2,2560,6.528,0.023,5.905,5.886,5.682,20,5.871,5.894,True,False,True,444.33
