arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,charge_delta_uah,config,control_block,cool_timeout,cool_wait_s,device_online,energy_j,energy_j_timestamped,energy_metric_used,energy_scope,entry_temp_mC,mask,mode,multiplexed,n_invocations,perfetto_trace,policy0_khz_max,policy0_khz_mean,policy6_khz_max,policy6_khz_mean,power_w_mean,raw,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,suspend_detected,suspend_detected_by_device,t_end,t_start,telemetry_csv,telemetry_samples,test,threads,tokens_counted,tokens_per_joule,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,variant,wall_s
control.tg_t2_A75.bare.b0,f34feea438584dec8079fd361a9b1552,74,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.bare.b0.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,0,False,47.9,True,,,,invocation_incl_setup,40800.0,0xC0,control:bare,,,,,,,,,,0,0,0,True,5,,,1382816.04,1382590.7,,,tg,2,2560,,0.082,11.798,11.726,10.217,20,11.664,11.746,False,False,True,bare,225.34
control.tg_t2_A75.bare.b1,d454457d67fd4d728702e7205da46d29,72,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.bare.b1.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,1,False,47.9,True,,,,invocation_incl_setup,40600.0,0xC0,control:bare,,,,,,,,,,0,1,0,True,5,,,1384040.8,1383818.12,,,tg,2,2560,,0.048,11.851,11.769,11.007,20,11.741,11.789,False,False,True,bare,222.68
control.tg_t2_A75.bare.b2,455a64876ed14b8c83cb70c9457e68a3,69,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.bare.b2.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,2,False,47.9,True,,,,invocation_incl_setup,40100.0,0xC0,control:bare,,,,,,,,,,0,2,0,True,5,,,1385840.45,1385618.94,,,tg,2,2560,,0.067,11.896,11.836,11.139,20,11.792,11.859,False,False,True,bare,221.51
control.tg_t2_A75.bare.b3,4d077479d9474811995433efda732e21,67,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.bare.b3.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,3,False,47.8,True,,,,invocation_incl_setup,41400.0,0xC0,control:bare,,,,,,,,,,0,3,0,True,5,,,1386781.62,1386558.86,,,tg,2,2560,,0.032,11.775,11.71,11.509,20,11.692,11.724,False,False,True,bare,222.76
control.tg_t2_A75.bare.b4,b58b6d344c874e2380d0819d619b549d,62,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.bare.b4.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,4,False,47.8,True,,,,invocation_incl_setup,40400.0,0xC0,control:bare,,,,,,,,,,0,4,0,True,5,,,1389276.05,1389054.07,,,tg,2,2560,,0.052,11.853,11.766,11.562,20,11.742,11.794,False,False,True,bare,221.98
control.tg_t2_A75.bare.b5,46ef7c8cfc0e4722a9a98f2ac6a3a7d4,60,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.bare.b5.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,5,False,47.9,True,,,,invocation_incl_setup,41200.0,0xC0,control:bare,,,,,,,,,,0,5,0,True,5,,,1390800.66,1390576.71,,,tg,2,2560,,0.122,11.823,11.712,10.783,20,11.648,11.77,False,False,True,bare,223.95
control.tg_t2_A75.bare.b6,38bd3dcf67294d4bbc0cd1e34bfa0be8,58,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.bare.b6.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,6,False,164.6,True,,,,invocation_incl_setup,42500.0,0xC0,control:bare,,,,,,,,,,0,6,0,True,5,,,1392058.95,1391831.47,,,tg,2,2560,,0.295,11.825,11.696,11.14,20,11.472,11.767,False,False,True,bare,227.48
control.tg_t2_A75.bare.b7,5207a0d3a441423481c3d9e768813483,54,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.bare.b7.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,7,False,47.9,True,,,,invocation_incl_setup,41800.0,0xC0,control:bare,,,,,,,,,,0,7,0,True,5,,,1393976.0,1393752.5,,,tg,2,2560,,0.243,11.861,11.742,11.189,20,11.564,11.807,False,False,True,bare,223.5
control.tg_t6_free.bare.b0,84b2dbcef4424ce6b48198cb1a97d91c,76,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.bare.b0.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,0,False,47.9,True,,,,invocation_incl_setup,39900.0,free,control:bare,,,,,,,,,,0,0,0,True,5,,,1381749.25,1381581.53,,,tg,6,2560,,0.35,16.553,16.009,13.46,20,15.731,16.081,False,False,True,bare,167.72
control.tg_t6_free.bare.b1,45dede7ea32f486d8865cd1d6ea0d495,73,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.bare.b1.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,1,False,47.8,True,,,,invocation_incl_setup,40800.0,free,control:bare,,,,,,,,,,0,1,0,True,5,,,1383261.16,1383100.11,,,tg,6,2560,,0.386,17.031,16.189,15.859,20,16.114,16.5,False,False,True,bare,161.05
control.tg_t6_free.bare.b2,b217294263af434eba8dbc937a433d7b,70,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.bare.b2.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,2,False,47.8,True,,,,invocation_incl_setup,41400.0,free,control:bare,,,,,,,,,,0,2,0,True,5,,,1385008.42,1384833.09,,,tg,6,2560,,1.169,17.16,15.793,11.34,20,14.932,16.101,False,False,True,bare,175.33
control.tg_t6_free.bare.b3,781675f5dde948fc8611ffe488b201a8,67,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.bare.b3.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,3,False,47.8,True,,,,invocation_incl_setup,40100.0,free,control:bare,,,,,,,,,,0,3,0,True,5,,,1386508.52,1386342.31,,,tg,6,2560,,0.889,17.181,15.929,14.284,20,15.544,16.433,False,False,True,bare,166.21
control.tg_t6_free.bare.b4,7fac70fa6766483e9914b1347813fe05,65,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.bare.b4.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,4,False,47.9,True,,,,invocation_incl_setup,41400.0,free,control:bare,,,,,,,,,,0,4,0,True,5,,,1387973.84,1387790.41,,,tg,6,2560,,0.785,16.415,15.778,8.408,20,15.344,16.129,False,False,True,bare,183.43
control.tg_t6_free.bare.b5,8539f9a0a3534ab99b1154673eb813f9,61,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.bare.b5.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,5,False,47.9,True,,,,invocation_incl_setup,41000.0,free,control:bare,,,,,,,,,,0,5,0,True,5,,,1389962.81,1389783.32,,,tg,6,2560,,2.02,17.241,15.445,10.002,20,13.995,16.015,False,False,True,bare,179.49
control.tg_t6_free.bare.b6,6e9a82425da34b9fa85668b4778e0d0f,58,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.bare.b6.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,6,False,47.8,True,,,,invocation_incl_setup,41300.0,free,control:bare,,,,,,,,,,0,6,0,True,5,,,1391664.32,1391484.05,,,tg,6,2560,,1.672,16.696,15.66,10.419,20,14.247,15.918,False,False,True,bare,180.27
control.tg_t6_free.bare.b7,aff0950cb1bb4095bc9c03c74ca2af53,55,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.bare.b7.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,7,False,47.9,True,,,,invocation_incl_setup,41200.0,free,control:bare,,,,,,,,,,0,7,0,True,5,,,1393419.05,1393195.56,,,tg,6,2560,,4.813,16.679,13.171,5.755,20,11.092,15.905,False,False,True,bare,223.49
