arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,config,cool_timeout,cool_wait_s,device_online,energy_scope,entry_temp_mC,mask,mode,multiplexed,n_invocations,raw,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,t_end,t_start,test,threads,tokens_counted,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,variant,wall_s
counters.tg_t2_A55.a55,4f291791a08f4056a2d30c50c3c3f704,76,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t2_A55.a55.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_A55,False,47.9,True,invocation_incl_setup,40700.0,0x03,counters:a55,False,1,"Performance counter statistics:

# cpu            count  event_name                                # count / runtime
  0    167,729,315,791  cpu-cycles:u                              # 0.778777 GHz 
  1    171,254,066,926  cpu-cycles:u                              # 0.777473 GHz 
  7          8,009,458  cpu-cycles:u                              # 0.300388 GHz 
  0     93,227,660,832  instructions:u                            # 432.862 M/sec
  1     91,333,404,620  instructions:u                            # 414.643 M/sec
  7          9,366,577  instructions:u                            # 351.286 M/sec
  0     37,300,674,535  raw-cortex-a55-stall-backend-ilock:u      # 173.189 M/sec
  1     38,797,738,354  raw-cortex-a55-stall-backend-ilock:u      # 176.137 M/sec
  7             57,823  raw-cortex-a55-stall-backend-ilock:u      # 2.169 M/sec  
  0      7,371,660,522  raw-cortex-a55-stall-backend-ld-cache:u   # 34.227 M/sec 
  1      8,651,215,945  raw-cortex-a55-stall-backend-ld-cache:u   # 39.275 M/sec 
  7              1,475  raw-cortex-a55-stall-backend-ld-cache:u   # 55.319 K/sec 

Total test time: 222.962183 seconds.
",0,0,0,True,5,1381305.38,1381081.02,tg,2,1280,0.018,5.994,5.981,5.654,10,5.971,5.989,False,False,True,a55,224.36
counters.tg_t2_A75.a55,07560da76a8a4d5f9164d4363d2bf428,77,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t2_A75.a55.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_A75,False,47.8,True,invocation_incl_setup,39400.0,0xC0,counters:a55,False,1,"Performance counter statistics:

# cpu           count  event_name                                # count / runtime
  6    90,706,471,114  cpu-cycles:u                              # 0.806833 GHz 
  7    89,647,242,798  cpu-cycles:u                              # 0.818114 GHz 
  6    88,955,835,160  instructions:u                            # 791.261 M/sec
  7    93,594,939,603  instructions:u                            # 854.141 M/sec
  6       174,720,342  raw-cortex-a55-stall-backend-ilock:u      # 1.554 M/sec  
  7       160,939,280  raw-cortex-a55-stall-backend-ilock:u      # 1.469 M/sec  
  6           635,151  raw-cortex-a55-stall-backend-ld-cache:u   # 5.650 K/sec  
  7           542,015  raw-cortex-a55-stall-backend-ld-cache:u   # 4.946 K/sec  

Total test time: 113.439957 seconds.
",0,0,0,True,5,1380270.61,1380155.77,tg,2,1280,0.053,11.737,11.684,11.595,10,11.66,11.714,False,False,True,a55,114.84
counters.tg_t2_free.a55,5a5e4854bc594a8ebb2303a5f2aa945b,78,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t2_free.a55.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_free,False,47.9,True,invocation_incl_setup,39100.0,free,counters:a55,False,1,"Performance counter statistics:

# cpu           count  event_name                                # count / runtime
  0       501,407,163  cpu-cycles:u                              # 0.741047 GHz 
  1       641,597,354  cpu-cycles:u                              # 0.772287 GHz 
  2       805,299,458  cpu-cycles:u                              # 0.773123 GHz 
  3       626,631,166  cpu-cycles:u                              # 0.772980 GHz 
  4       888,459,617  cpu-cycles:u                              # 0.778166 GHz 
  5     1,204,086,492  cpu-cycles:u                              # 0.780808 GHz 
  6    87,415,791,040  cpu-cycles:u                              # 0.816105 GHz 
  7    91,844,161,258  cpu-cycles:u                              # 0.811313 GHz 
  0       275,455,434  instructions:u                            # 407.105 M/sec
  1       355,115,592  instructions:u                            # 427.451 M/sec
  2       428,720,089  instructions:u                            # 411.590 M/sec
  3       346,378,987  instructions:u                            # 427.275 M/sec
  4       490,665,365  instructions:u                            # 429.754 M/sec
  5       664,593,019  instructions:u                            # 430.965 M/sec
  6    87,178,904,608  instructions:u                            # 813.894 M/sec
  7    94,001,121,009  instructions:u                            # 830.367 M/sec
  0       114,048,519  raw-cortex-a55-stall-backend-ilock:u      # 168.556 M/sec
  1       146,445,901  raw-cortex-a55-stall-backend-ilock:u      # 176.276 M/sec
  2       181,016,322  raw-cortex-a55-stall-backend-ilock:u      # 173.784 M/sec
  3       144,071,715  raw-cortex-a55-stall-backend-ilock:u      # 177.720 M/sec
  4       200,188,469  raw-cortex-a55-stall-backend-ilock:u      # 175.337 M/sec
  5       270,947,805  raw-cortex-a55-stall-backend-ilock:u      # 175.700 M/sec
  6       152,679,795  raw-cortex-a55-stall-backend-ilock:u      # 1.425 M/sec  
  7       161,641,597  raw-cortex-a55-stall-backend-ilock:u      # 1.428 M/sec  
  0        25,105,112  raw-cortex-a55-stall-backend-ld-cache:u   # 37.104 M/sec 
  1        31,571,488  raw-cortex-a55-stall-backend-ld-cache:u   # 38.002 M/sec 
  2        43,768,661  raw-cortex-a55-stall-backend-ld-cache:u   # 42.020 M/sec 
  3        31,878,929  raw-cortex-a55-stall-backend-ld-cache:u   # 39.324 M/sec 
  4        45,653,187  raw-cortex-a55-stall-backend-ld-cache:u   # 39.986 M/sec 
  5        64,812,334  raw-cortex-a55-stall-backend-ld-cache:u   # 42.029 M/sec 
  6         1,200,408  raw-cortex-a55-stall-backend-ld-cache:u   # 11.207 K/sec 
  7         1,519,490  raw-cortex-a55-stall-backend-ld-cache:u   # 13.423 K/sec 

Total test time: 115.828136 seconds.
",0,0,0,True,5,1379800.66,1379683.5,tg,2,1280,0.328,11.769,11.57,10.761,10,11.358,11.686,False,False,True,a55,117.16
counters.tg_t4_free.a55,e95a7ea86647448990dd7d664d2a61af,77,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t4_free.a55.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t4_free,False,47.9,True,invocation_incl_setup,39500.0,free,counters:a55,False,1,"Performance counter statistics:

# cpu           count  event_name                                # count / runtime
  0     8,147,945,414  cpu-cycles:u                              # 0.792379 GHz 
  1     7,143,915,985  cpu-cycles:u                              # 0.795292 GHz 
  2    12,479,349,794  cpu-cycles:u                              # 0.796119 GHz 
  3    30,431,545,298  cpu-cycles:u                              # 0.797671 GHz 
  4    41,080,050,579  cpu-cycles:u                              # 0.800087 GHz 
  5    41,024,658,447  cpu-cycles:u                              # 0.799970 GHz 
  6    68,813,647,718  cpu-cycles:u                              # 0.812012 GHz 
  7    70,541,657,184  cpu-cycles:u                              # 0.809828 GHz 
  0     4,683,121,889  instructions:u                            # 455.429 M/sec
  1     4,198,218,659  instructions:u                            # 467.364 M/sec
  2     7,089,562,361  instructions:u                            # 452.278 M/sec
  3    17,214,751,458  instructions:u                            # 451.232 M/sec
  4    23,947,639,601  instructions:u                            # 466.411 M/sec
  5    23,832,821,904  instructions:u                            # 464.733 M/sec
  6    76,750,002,944  instructions:u                            # 905.662 M/sec
  7    79,192,253,039  instructions:u                            # 909.138 M/sec
  0     1,849,319,333  raw-cortex-a55-stall-backend-ilock:u      # 179.844 M/sec
  1     1,588,546,465  raw-cortex-a55-stall-backend-ilock:u      # 176.844 M/sec
  2     2,834,717,762  raw-cortex-a55-stall-backend-ilock:u      # 180.841 M/sec
  3     6,910,669,522  raw-cortex-a55-stall-backend-ilock:u      # 181.142 M/sec
  4     9,174,293,148  raw-cortex-a55-stall-backend-ilock:u      # 178.681 M/sec
  5     9,123,218,761  raw-cortex-a55-stall-backend-ilock:u      # 177.900 M/sec
  6       104,156,691  raw-cortex-a55-stall-backend-ilock:u      # 1.229 M/sec  
  7       111,838,631  raw-cortex-a55-stall-backend-ilock:u      # 1.284 M/sec  
  0       470,560,735  raw-cortex-a55-stall-backend-ld-cache:u   # 45.762 M/sec 
  1       397,265,221  raw-cortex-a55-stall-backend-ld-cache:u   # 44.225 M/sec 
  2       729,617,101  raw-cortex-a55-stall-backend-ld-cache:u   # 46.546 M/sec 
  3     1,791,246,262  raw-cortex-a55-stall-backend-ld-cache:u   # 46.952 M/sec 
  4     2,248,804,204  raw-cortex-a55-stall-backend-ld-cache:u   # 43.798 M/sec 
  5     2,314,518,973  raw-cortex-a55-stall-backend-ld-cache:u   # 45.132 M/sec 
  6           386,889  raw-cortex-a55-stall-backend-ld-cache:u   # 4.565 K/sec  
  7           546,520  raw-cortex-a55-stall-backend-ld-cache:u   # 6.274 K/sec  

Total test time: 90.048259 seconds.
",0,0,0,True,5,1380570.86,1380479.44,tg,4,1280,0.441,15.409,14.876,13.886,10,14.733,15.174,False,False,True,a55,91.42
counters.tg_t4_mix.a55,a15ba8ce5c46457badf084bc3b335b32,77,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t4_mix.a55.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t4_mix,False,47.8,True,invocation_incl_setup,40100.0,0xC3,counters:a55,False,1,"Performance counter statistics:

# cpu           count  event_name                                # count / runtime
  0    69,728,912,379  cpu-cycles:u                              # 0.793392 GHz 
  1    70,654,732,828  cpu-cycles:u                              # 0.800342 GHz 
  6    71,558,695,992  cpu-cycles:u                              # 0.821562 GHz 
  7    74,213,116,153  cpu-cycles:u                              # 0.808794 GHz 
  0    38,611,974,453  instructions:u                            # 439.336 M/sec
  1    42,931,178,729  instructions:u                            # 486.303 M/sec
  6    83,981,821,445  instructions:u                            # 964.191 M/sec
  7    86,756,498,431  instructions:u                            # 945.495 M/sec
  0    16,150,165,502  raw-cortex-a55-stall-backend-ilock:u      # 183.760 M/sec
  1    15,745,700,885  raw-cortex-a55-stall-backend-ilock:u      # 178.359 M/sec
  6       108,681,960  raw-cortex-a55-stall-backend-ilock:u      # 1.248 M/sec  
  7       119,571,497  raw-cortex-a55-stall-backend-ilock:u      # 1.303 M/sec  
  0     4,108,014,728  raw-cortex-a55-stall-backend-ld-cache:u   # 46.742 M/sec 
  1     3,711,976,664  raw-cortex-a55-stall-backend-ld-cache:u   # 42.047 M/sec 
  6           694,306  raw-cortex-a55-stall-backend-ld-cache:u   # 7.971 K/sec  
  7           875,960  raw-cortex-a55-stall-backend-ld-cache:u   # 9.546 K/sec  

Total test time: 92.333674 seconds.
",0,0,0,True,5,1380715.24,1380621.5,tg,4,1280,1.008,15.477,14.369,13.298,10,14.113,15.121,False,False,True,a55,93.74
counters.tg_t6_A55.a55,a69967c0fcf9462b9e9027ea71678c8d,77,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t6_A55.a55.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t6_A55,False,47.8,True,invocation_incl_setup,40700.0,0x3F,counters:a55,False,1,"Performance counter statistics:

# cpu           count  event_name                                # count / runtime
  0    73,548,594,530  cpu-cycles:u                              # 0.764965 GHz 
  1    72,633,560,833  cpu-cycles:u                              # 0.768682 GHz 
  2    75,708,749,144  cpu-cycles:u                              # 0.775452 GHz 
  3    78,468,499,051  cpu-cycles:u                              # 0.755486 GHz 
  4    77,179,475,611  cpu-cycles:u                              # 0.778092 GHz 
  5    76,932,464,494  cpu-cycles:u                              # 0.778637 GHz 
  6         8,116,861  cpu-cycles:u                              # 0.298271 GHz 
  0    46,130,114,927  instructions:u                            # 479.791 M/sec
  1    43,559,048,883  instructions:u                            # 460.986 M/sec
  2    46,256,224,791  instructions:u                            # 473.783 M/sec
  3    42,904,664,438  instructions:u                            # 413.081 M/sec
  4    48,276,741,955  instructions:u                            # 486.706 M/sec
  5    49,157,712,821  instructions:u                            # 497.527 M/sec
  6         9,366,169  instructions:u                            # 344.180 M/sec
  0    15,528,386,137  raw-cortex-a55-stall-backend-ilock:u      # 161.508 M/sec
  1    14,996,760,109  raw-cortex-a55-stall-backend-ilock:u      # 158.711 M/sec
  2    15,614,998,417  raw-cortex-a55-stall-backend-ilock:u      # 159.938 M/sec
  3    16,585,396,873  raw-cortex-a55-stall-backend-ilock:u      # 159.682 M/sec
  4    16,057,232,058  raw-cortex-a55-stall-backend-ilock:u      # 161.882 M/sec
  5    16,278,641,764  raw-cortex-a55-stall-backend-ilock:u      # 164.757 M/sec
  6            76,452  raw-cortex-a55-stall-backend-ilock:u      # 2.809 M/sec  
  0     7,630,838,058  raw-cortex-a55-stall-backend-ld-cache:u   # 79.367 M/sec 
  1     8,946,716,729  raw-cortex-a55-stall-backend-ld-cache:u   # 94.683 M/sec 
  2     9,559,006,196  raw-cortex-a55-stall-backend-ld-cache:u   # 97.909 M/sec 
  3    11,169,761,954  raw-cortex-a55-stall-backend-ld-cache:u   # 107.541 M/sec
  4     9,140,548,418  raw-cortex-a55-stall-backend-ld-cache:u   # 92.151 M/sec 
  5     7,999,776,695  raw-cortex-a55-stall-backend-ld-cache:u   # 80.966 M/sec 
  6             1,499  raw-cortex-a55-stall-backend-ld-cache:u   # 55.084 K/sec 

Total test time: 106.434156 seconds.
",0,0,0,True,5,1380428.98,1380321.1,tg,6,1280,0.5,13.632,13.341,10.688,10,12.968,13.468,False,False,True,a55,107.88
counters.tg_t6_free.a55,4bca2df2b19b4eadac3157b1025edbd3,78,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t6_free.a55.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t6_free,False,47.9,True,invocation_incl_setup,39000.0,free,counters:a55,False,1,"Performance counter statistics:

# cpu           count  event_name                                # count / runtime
  0    15,027,924,166  cpu-cycles:u                              # 0.766770 GHz 
  1    20,739,349,526  cpu-cycles:u                              # 0.775971 GHz 
  2    51,897,321,242  cpu-cycles:u                              # 0.778570 GHz 
  3    57,153,652,062  cpu-cycles:u                              # 0.777912 GHz 
  4    57,972,695,370  cpu-cycles:u                              # 0.780060 GHz 
  5    49,478,661,818  cpu-cycles:u                              # 0.778856 GHz 
  6    61,003,173,057  cpu-cycles:u                              # 0.804876 GHz 
  7    64,550,183,507  cpu-cycles:u                              # 0.794022 GHz 
  0     9,167,243,952  instructions:u                            # 467.740 M/sec
  1    12,715,384,239  instructions:u                            # 475.751 M/sec
  2    31,089,244,103  instructions:u                            # 466.405 M/sec
  3    33,536,265,025  instructions:u                            # 456.459 M/sec
  4    35,713,962,689  instructions:u                            # 480.554 M/sec
  5    30,430,341,351  instructions:u                            # 479.012 M/sec
  6    69,135,368,705  instructions:u                            # 912.173 M/sec
  7    75,069,276,847  instructions:u                            # 923.415 M/sec
  0     3,159,986,939  raw-cortex-a55-stall-backend-ilock:u      # 161.232 M/sec
  1     4,346,525,750  raw-cortex-a55-stall-backend-ilock:u      # 162.627 M/sec
  2    10,934,489,210  raw-cortex-a55-stall-backend-ilock:u      # 164.041 M/sec
  3    12,075,222,439  raw-cortex-a55-stall-backend-ilock:u      # 164.355 M/sec
  4    12,115,738,858  raw-cortex-a55-stall-backend-ilock:u      # 163.025 M/sec
  5    10,315,691,234  raw-cortex-a55-stall-backend-ilock:u      # 162.382 M/sec
  6        76,883,851  raw-cortex-a55-stall-backend-ilock:u      # 1.014 M/sec  
  7        83,717,589  raw-cortex-a55-stall-backend-ilock:u      # 1.030 M/sec  
  0     1,676,512,351  raw-cortex-a55-stall-backend-ld-cache:u   # 85.541 M/sec 
  1     2,347,819,937  raw-cortex-a55-stall-backend-ld-cache:u   # 87.845 M/sec 
  2     6,042,963,147  raw-cortex-a55-stall-backend-ld-cache:u   # 90.657 M/sec 
  3     7,303,906,369  raw-cortex-a55-stall-backend-ld-cache:u   # 99.413 M/sec 
  4     7,312,300,344  raw-cortex-a55-stall-backend-ld-cache:u   # 98.392 M/sec 
  5     6,205,232,312  raw-cortex-a55-stall-backend-ld-cache:u   # 97.678 M/sec 
  6           218,171  raw-cortex-a55-stall-backend-ld-cache:u   # 2.879 K/sec  
  7           390,240  raw-cortex-a55-stall-backend-ld-cache:u   # 4.800 K/sec  

Total test time: 84.149777 seconds.
",0,0,0,True,5,1379633.06,1379547.57,tg,6,1280,0.664,16.57,15.917,15.315,10,15.649,16.314,False,False,True,a55,85.49
counters.tg_t8_free.a55,8dd7539e8b044d4aa6bac4caae760528,78,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t8_free.a55.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t8_free,False,47.8,True,invocation_incl_setup,39300.0,free,counters:a55,False,1,"Performance counter statistics:

# cpu           count  event_name                                # count / runtime
  0    66,226,993,298  cpu-cycles:u                              # 0.741153 GHz 
  1    67,435,194,112  cpu-cycles:u                              # 0.747099 GHz 
  2    68,800,905,190  cpu-cycles:u                              # 0.751364 GHz 
  3    68,339,498,224  cpu-cycles:u                              # 0.747631 GHz 
  4    69,520,401,420  cpu-cycles:u                              # 0.752772 GHz 
  5    69,760,413,160  cpu-cycles:u                              # 0.754292 GHz 
  6    68,964,459,328  cpu-cycles:u                              # 0.784612 GHz 
  7    69,603,119,163  cpu-cycles:u                              # 0.788478 GHz 
  0    45,718,906,156  instructions:u                            # 511.645 M/sec
  1    45,968,771,005  instructions:u                            # 509.277 M/sec
  2    44,900,311,650  instructions:u                            # 490.349 M/sec
  3    48,342,437,285  instructions:u                            # 528.864 M/sec
  4    49,564,297,890  instructions:u                            # 536.686 M/sec
  5    48,908,597,375  instructions:u                            # 528.829 M/sec
  6    89,957,602,467  instructions:u                            # 1.023 G/sec  
  7    93,296,839,703  instructions:u                            # 1.057 G/sec  
  0    13,488,299,538  raw-cortex-a55-stall-backend-ilock:u      # 150.949 M/sec
  1    13,820,448,647  raw-cortex-a55-stall-backend-ilock:u      # 153.114 M/sec
  2    14,539,812,802  raw-cortex-a55-stall-backend-ilock:u      # 158.787 M/sec
  3    13,828,405,026  raw-cortex-a55-stall-backend-ilock:u      # 151.282 M/sec
  4    14,098,548,415  raw-cortex-a55-stall-backend-ilock:u      # 152.660 M/sec
  5    14,123,357,080  raw-cortex-a55-stall-backend-ilock:u      # 152.710 M/sec
  6        64,068,096  raw-cortex-a55-stall-backend-ilock:u      # 728.906 K/sec
  7        60,818,709  raw-cortex-a55-stall-backend-ilock:u      # 688.967 K/sec
  0     9,495,464,814  raw-cortex-a55-stall-backend-ld-cache:u   # 106.265 M/sec
  1    10,378,560,777  raw-cortex-a55-stall-backend-ld-cache:u   # 114.982 M/sec
  2    11,038,112,868  raw-cortex-a55-stall-backend-ld-cache:u   # 120.545 M/sec
  3    10,568,872,169  raw-cortex-a55-stall-backend-ld-cache:u   # 115.623 M/sec
  4    10,623,286,599  raw-cortex-a55-stall-backend-ld-cache:u   # 115.030 M/sec
  5    10,453,996,377  raw-cortex-a55-stall-backend-ld-cache:u   # 113.035 M/sec
  6           248,362  raw-cortex-a55-stall-backend-ld-cache:u   # 2.826 K/sec  
  7           352,406  raw-cortex-a55-stall-backend-ld-cache:u   # 3.992 K/sec  

Total test time: 98.096846 seconds.
",0,0,0,True,5,1380105.34,1380005.91,tg,8,1280,0.94,14.896,13.603,12.793,10,13.019,13.96,False,False,True,a55,99.43
counters.tg_t2_A55.core,d36a2811f87e40cea4d228b6e773edd5,79,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t2_A55.core.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_A55,False,47.9,True,invocation_incl_setup,40200.0,0x03,counters:core,False,1,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  0    167,924,456,457  cpu-cycles:u             # 0.774166 GHz 
  1    170,587,306,586  cpu-cycles:u             # 0.783250 GHz 
  7          8,097,006  cpu-cycles:u             # 0.291610 GHz 
  0     87,656,133,530  instructions:u           # 404.113 M/sec
  1     96,278,951,579  instructions:u           # 442.064 M/sec
  7          9,366,394  instructions:u           # 337.327 M/sec
  0     62,961,634,931  raw-stall-backend:u      # 290.266 M/sec
  1     61,874,662,842  raw-stall-backend:u      # 284.097 M/sec
  7          2,910,195  raw-stall-backend:u      # 104.809 M/sec
  0      2,070,723,301  raw-ll-cache-miss-rd:u   # 9.546 M/sec  
  1      1,943,712,875  raw-ll-cache-miss-rd:u   # 8.925 M/sec  
  7             31,941  raw-ll-cache-miss-rd:u   # 1.150 M/sec  

Total test time: 222.167773 seconds.
",0,0,0,True,5,1379194.76,1378971.19,tg,2,1280,0.025,6.005,5.983,5.877,10,5.965,5.991,False,False,True,core,223.57
counters.tg_t2_A75.core,7971126f0c8b43319a2cc10fa1a23361,79,Discharging,Discharging,out/llama-bench/bench_json/bench_counters.tg_t2_A75.core.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,tg_t2_A75,False,47.8,True,invocation_incl_setup,38400.0,0xC0,counters:core,False,1,"Performance counter statistics:

# cpu           count  event_name               # count / runtime
  6    89,293,947,472  cpu-cycles:u             # 0.821419 GHz 
  7    90,098,668,348  cpu-cycles:u             # 0.816024 GHz 
  6    92,954,747,382  instructions:u           # 855.095 M/sec
  7    89,254,710,835  instructions:u           # 808.380 M/sec
  6    54,570,195,629  raw-stall-backend:u      # 501.994 M/sec
  7    56,389,166,757  raw-stall-backend:u      # 510.717 M/sec
  6     5,615,051,247  raw-ll-cache-miss-rd:u   # 51.653 M/sec 
  7     5,654,334,104  raw-ll-cache-miss-rd:u   # 51.211 M/sec 

Total test time: 111.931019 seconds.
",0,0,0,True,5,1379358.43,1379245.1,tg,2,1280,0.018,11.87,11.84,11.812,10,11.836,11.853,False,False,True,core,113.33
