boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
1364496.22,774000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,4281,4464000
1364498.04,774000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,4275,4464000
1364501.27,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,4275,4464000
1364504.13,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,4268,4464000
1364507.56,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,4268,4464000
1364511.45,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,4266,4464000
1364515.33,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,4262,4464000
1364519.20,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,4262,4464000
1364522.96,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,4261,4464000
1364526.79,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,4266,4464000
1364530.55,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,4266,4464000
1364534.39,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,4261,4464000
1364538.21,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4267,4464000
1364542.05,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,4267,4464000
1364545.93,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,4267,4464000
1364549.81,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,4266,4464000
1364553.71,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,4266,4464000
1364557.58,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,4262,4464000
1364561.48,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,4260,4464000
1364565.32,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,4266,4464000
1364569.42,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,4266,4464000
1364573.63,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,4264,4464000
1364578.38,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,4262,4464000
1364582.34,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,4262,4464000
1364586.12,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,4262,4464000
1364589.95,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,4266,4464000
1364593.83,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,4264,4464000
1364597.68,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,4264,4464000
1364601.50,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,4264,4464000
1364605.36,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,4257,4464000
1364609.27,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,4264,4445000
1364613.17,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,4264,4445000
1364617.02,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,4267,4445000
1364620.84,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,4268,4445000
1364624.63,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,4268,4445000
1364628.48,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,4265,4445000
1364632.30,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,4265,4445000
1364636.09,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,4265,4445000
1364639.85,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,4265,4445000
1364643.64,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,4272,4445000
1364647.47,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,4272,4445000
1364651.22,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,4255,4441000
1364655.02,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,4263,4441000
1364658.81,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,4263,4441000
1364662.59,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,4260,4441000
1364666.36,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,4256,4441000
1364670.14,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,4256,4441000
1364673.96,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,4265,4441000
1364677.74,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,4261,4441000
1364681.48,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,4261,4441000
1364685.29,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,4260,4441000
