boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
19800.75,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,4192,4097000
19802.10,1175000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,4192,4097000
19803.52,774000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,4192,4097000
19804.96,1500000,1176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,4192,4097000
19806.23,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,4192,4097000
19809.57,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,4192,4097000
19811.61,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,4202,4097000
19813.56,1500000,998000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,4202,4097000
19815.86,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,4202,4097000
19817.23,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,4202,4097000
19818.58,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,4202,4097000
19819.95,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,4202,4097000
19821.86,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,4202,4097000
19825.09,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,4214,4097000
19827.91,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,4214,4097000
19831.71,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,4214,4097000
19834.61,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,4214,4097000
19837.40,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,4214,4097000
19840.51,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,4192,4097000
19844.10,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4192,4097000
19846.73,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,4192,4097000
19849.86,1500000,1087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,4192,4097000
19851.71,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,4192,4097000
19855.08,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,4192,4097000
19856.97,1500000,1176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,4192,4097000
19858.45,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,4197,4097000
19860.51,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,4197,4097000
19864.07,1500000,1176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,4197,4097000
19866.92,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,4197,4097000
19870.08,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,4197,4097000
19872.97,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,4192,4097000
19876.74,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,4192,4097000
19880.26,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,4192,4097000
19882.60,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,4192,4097000
19886.55,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,4192,4097000
19889.77,1500000,1087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,4192,4097000
19892.24,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,4193,4097000
19894.37,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,4193,4097000
19898.01,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,4193,4097000
19901.41,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,4193,4097000
