boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
18853.01,1275000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,4229,4149000
18856.94,1325000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,4229,4149000
18860.56,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,4229,4149000
18862.96,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,4229,4149000
18865.14,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,4224,4149000
18871.78,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,4224,4149000
18879.29,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,4224,4149000
18884.65,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,4221,4149000
18888.71,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,4221,4149000
18894.34,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,4221,4149000
18900.38,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,4207,4149000
18905.79,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,4207,4149000
18910.99,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,4207,4149000
18918.57,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,4218,4149000
18924.76,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,4218,4149000
18928.66,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,4218,4149000
18933.22,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,4212,4149000
18937.86,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,4212,4149000
18940.08,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,4212,4149000
18942.29,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,4212,4149000
18947.15,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,4203,4149000
18950.76,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,4203,4149000
18955.95,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,4203,4149000
18960.58,999000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,4205,4149000
