boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
14398.25,774000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,4274,4407000
14407.55,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,4266,4407000
14413.03,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,4279,4407000
14420.09,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,4267,4407000
14426.17,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,4266,4407000
14432.24,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,4266,4407000
14442.07,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,4262,4407000
14455.77,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,4284,4407000
14463.04,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,4266,4407000
14470.09,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,4263,4382000
14473.94,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,4262,4382000
14479.61,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,4262,4382000
14484.61,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,4264,4382000
14493.14,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,4264,4382000
14500.29,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,4264,4382000
14502.34,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,4264,4382000
14510.71,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,4266,4382000
14514.19,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,4266,4382000
14518.23,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,4259,4382000
14521.14,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,4259,4382000
14525.51,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,4261,4382000
14532.90,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,4262,4382000
14539.52,500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,4273,4382000
