boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
16349.05,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,4245,4278000
16350.49,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,4245,4278000
16351.87,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,4258,4278000
16353.43,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,4258,4278000
16357.22,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,4258,4278000
16360.25,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,4249,4278000
16361.88,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,4249,4278000
16363.28,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,4249,4278000
16364.90,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,4234,4278000
16368.52,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,4234,4278000
16372.54,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,4234,4278000
16376.36,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,4241,4278000
16380.12,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,4241,4278000
16384.34,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,4241,4278000
16388.76,1500000,1087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,4247,4278000
16391.32,1500000,1087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,4247,4278000
16394.55,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,4247,4278000
16396.58,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,4236,4278000
16400.73,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,4236,4278000
16403.40,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,4236,4278000
16404.82,1500000,1087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,4238,4278000
16406.23,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,4238,4278000
16408.00,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,4238,4278000
16411.15,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,4253,4278000
16414.00,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,4253,4278000
16416.51,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,4253,4278000
16421.94,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,4240,4278000
16425.93,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,4240,4278000
16429.00,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,4240,4278000
16432.17,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,4239,4278000
16436.49,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,4239,4278000
16439.34,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,4239,4278000
16443.34,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,4255,4278000
