boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
10270.94,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,4306,4636000
10272.18,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,4306,4636000
10273.49,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,4306,4636000
10274.78,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,4306,4636000
10276.09,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,4312,4636000
10277.43,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,4312,4636000
10278.77,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,4312,4636000
10280.27,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,4312,4636000
10282.83,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,4289,4636000
10284.47,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,4289,4636000
10286.16,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,4289,4636000
10287.78,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,4289,4636000
10289.42,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,4289,4636000
10291.10,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,4289,4636000
10292.75,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,4288,4636000
10294.38,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,4288,4636000
10295.97,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,4288,4636000
10297.52,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,4288,4636000
10299.17,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,4281,4636000
10300.82,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,4281,4636000
10302.47,1500000,1087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,4281,4636000
10304.10,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,4286,4636000
10305.71,1500000,1087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,4286,4636000
10307.34,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,4286,4636000
10308.94,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,4286,4636000
10310.55,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,4294,4636000
10312.20,1500000,1176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,4294,4636000
10314.73,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,4294,4636000
10316.42,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,4292,4636000
10318.02,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,4292,4636000
10319.64,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,4292,4636000
