boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
8603.14,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,4348,5023000
8604.34,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,4348,5023000
8605.57,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,4348,5023000
8606.85,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,4327,5023000
8608.22,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,4327,5023000
8609.58,1500000,1176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,4327,5023000
8610.96,1500000,1176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,4327,5023000
8612.33,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,4328,5023000
8613.69,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,4328,5023000
8615.10,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,4328,5023000
8616.49,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,4328,5023000
8617.87,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,4323,5023000
8619.24,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,4323,5023000
8620.63,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,4323,5023000
8622.00,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,4323,5023000
8623.39,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,4319,5023000
8624.86,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,4319,5023000
8626.23,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,4319,5023000
8627.57,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,4319,5023000
8628.90,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,4319,5023000
8630.25,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,4314,5023000
8631.62,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,4314,5023000
8633.01,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,4314,5023000
8634.33,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,4314,5023000
8635.65,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,4323,5023000
8637.03,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,4323,5023000
8638.38,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,4323,5023000
8639.78,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,4323,5023000
8641.37,1500000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,4311,5023000
8643.02,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,4311,5023000
8644.57,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,4311,5023000
8646.09,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,4320,5023000
8647.80,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,4320,5023000
8649.25,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,4320,5023000
8650.58,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,4320,5023000
8652.03,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,4310,5023000
8653.44,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,4310,5023000
8654.87,1500000,1354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,4310,5023000
