boottime_s,policy0_khz,policy6_khz,thermal_zone0_mC,thermal_zone1_mC,thermal_zone10_mC,thermal_zone11_mC,thermal_zone12_mC,thermal_zone13_mC,thermal_zone14_mC,thermal_zone15_mC,thermal_zone16_mC,thermal_zone17_mC,thermal_zone18_mC,thermal_zone19_mC,thermal_zone2_mC,thermal_zone20_mC,thermal_zone21_mC,thermal_zone22_mC,thermal_zone23_mC,thermal_zone24_mC,thermal_zone25_mC,thermal_zone26_mC,thermal_zone27_mC,thermal_zone28_mC,thermal_zone29_mC,thermal_zone3_mC,thermal_zone30_mC,thermal_zone31_mC,thermal_zone32_mC,thermal_zone33_mC,thermal_zone34_mC,thermal_zone35_mC,thermal_zone36_mC,thermal_zone4_mC,thermal_zone5_mC,thermal_zone6_mC,thermal_zone7_mC,thermal_zone8_mC,thermal_zone9_mC,current_now,voltage_now,charge_counter
8814.02,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,4336,5007000
8815.33,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,4336,5007000
8816.67,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,4336,5007000
8818.02,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,4317,5007000
8819.60,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,4317,5007000
8821.14,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,4317,5007000
8822.66,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,4317,5007000
8824.24,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,4314,5007000
8825.80,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,4314,5007000
8827.54,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,4314,5007000
8829.09,1500000,1087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,4306,5007000
8830.69,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,4306,5007000
8832.27,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,4306,5007000
8833.83,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,4306,5007000
8835.39,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,4314,5007000
8836.95,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,4314,5007000
8838.47,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,4314,5007000
8840.03,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,4309,5007000
8841.53,1500000,1443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,4309,5007000
8843.07,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,4309,5007000
8844.60,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,4309,5007000
8846.18,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,4308,5007000
8847.79,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,4308,5007000
8849.32,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,4308,5007000
8850.84,1500000,1532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,4308,5007000
8852.37,1500000,1295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,4307,5007000
